order_id,supplier_name,part_number,part_description,order_date,promised_date,actual_delivery_date,quantity,unit_price,po_amount
PO-DEMO-023,AEROFLOW SYS,DAMPER-3305,Pneumatic Damper 36 inch,2021-11-16,2022-01-01,2021-12-30,269,291.35,78373.15
PO-DEMO-024,AEROFLOW SYS,HX-5520,Aluminum Heat Exchanger,2021-11-10,2021-12-17,2021-12-17,175,995.44,174202.0
PO-DEMO-025,Precision Thermal Company,BRKT-1005,Heavy Duty Mount,2021-10-30,2021-12-06,2021-12-10,39,18.61,725.79
PO-DEMO-026,Precision Thermal Company,SENSOR-4401,Temperature Sensor Probe,2022-02-24,2022-03-15,2022-03-12,45,79.12,3560.4
PO-DEMO-027,Precision Thermal Company,SENSOR-4401,Temperature Sensor Probe,2022-02-15,2022-03-09,2022-03-08,291,46.61,13563.51
PO-DEMO-028,Precision Thermal Company,BRKT-1005,Heavy Duty Mount,2022-02-14,2022-04-07,2022-04-15,286,26.33,7530.38
PO-DEMO-029,Quik-Fab Industries,PANEL-8820,Stainless Control Panel,2022-03-27,2022-04-22,2022-04-26,201,263.81,53025.81
PO-DEMO-030,Quik-Fab Industries,BRKT-1005,Heavy Duty Mount,2022-02-11,2022-03-25,2022-03-23,125,15.96,1995.0
PO-DEMO-031,Quik-Fab Industries,BRKT-1005,Heavy Duty Mount,2021-10-07,2021-11-27,2021-12-09,122,15.11,1843.42
PO-DEMO-032,Quik-Fab Industries,CTRL-9985,PLC Control Module,2022-03-12,2022-03-29,2022-03-31,26,478.95,12452.7
PO-DEMO-033,AeroFlow Technologies,DAMPER-3305,Pneumatic Damper 36 inch,2024-02-03,2024-03-20,2024-03-22,258,232.14,59892.12
PO-DEMO-034,AeroFlow Technologies,SENSOR-4401,Temperature Sensor Probe,2024-02-18,2024-04-18,2024-05-01,134,71.38,9564.92
PO-DEMO-035,AeroFlow Technologies,CTRL-9985,PLC Control Module,2024-04-29,2024-05-25,2024-05-23,230,403.14,92722.2
PO-DEMO-036,AeroFlow Technologies,CTRL-9985,PLC Control Module,2024-04-30,2024-06-12,2024-06-08,41,410.39,16825.99
PO-DEMO-037,AeroFlow Tech,BRKT-1005,Heavy Duty Mount,2024-04-11,2024-05-01,2024-05-03,107,23.04,2465.28
PO-DEMO-038,AeroFlow Tech,DAMPER-3305,Pneumatic Damper 36 inch,2024-02-20,2024-04-01,2024-04-01,246,237.47,58417.62
PO-DEMO-039,AeroFlow Tech,CTRL-9985,PLC Control Module,2024-02-04,2024-03-17,2024-03-29,35,447.82,15673.7
PO-DEMO-040,AeroFlow Tech,BRKT-1005,Heavy Duty Mount,2024-06-02,2024-06-16,2024-06-13,95,21.1,2004.5
PO-DEMO-041,Stellr Metalworks,HX-5520,Aluminum Heat Exchanger,2022-02-02,2022-03-01,2022-03-08,94,951.59,89449.46
PO-DEMO-042,Stellr Metalworks,DAMPER-3305,Pneumatic Damper 36 inch,2022-01-09,2022-02-08,2022-02-17,226,304.49,68814.74
PO-DEMO-043,Stellr Metalworks,FAN-2436,36 inch Axial Fan,2022-02-21,2022-04-18,2022-04-28,107,209.67,22434.69
PO-DEMO-044,Stellr Metalworks,HX-5520,Aluminum Heat Exchanger,2021-10-16,2021-12-06,2021-12-18,170,822.87,139887.9
PO-DEMO-045,Titan Forge LLC,FAN-2436,36 inch Axial Fan,2022-02-28,2022-04-13,2022-04-24,39,276.08,10767.12
PO-DEMO-046,Titan Forge LLC,CTRL-9985,PLC Control Module,2021-10-22,2021-11-16,2021-11-13,130,410.57,53374.1
PO-DEMO-047,Titan Forge LLC,HX-5520,Aluminum Heat Exchanger,2022-02-24,2022-03-25,2022-04-07,51,967.69,49352.19
PO-DEMO-048,Titan Forge LLC,BEARING-9905,Heavy Duty Bearing Set,2022-02-28,2022-04-19,2022-04-30,143,68.17,9748.31
PO-DEMO-049,Apex-QuickFab Industries,PANEL-8820,Stainless Control Panel,2024-10-04,2024-11-02,2024-11-05,77,287.17,22112.09
PO-DEMO-050,Apex-QuickFab Industries,CTRL-9985,PLC Control Module,2024-09-30,2024-11-12,2024-11-17,14,418.74,5862.36
PO-DEMO-051,Apex-QuickFab Industries,BRKT-1005,Heavy Duty Mount,2024-12-07,2024-12-27,2024-12-24,269,18.98,5105.62
PO-DEMO-052,Apex-QuickFab Industries,BEARING-9905,Heavy Duty Bearing Set,2024-10-13,2024-10-31,2024-11-02,155,66.31,10278.05
PO-DEMO-053,StellarForge Industries,HX-5520,Aluminum Heat Exchanger,2023-10-19,2023-12-17,2023-12-21,293,919.75,269486.75
PO-DEMO-054,StellarForge Industries,DAMPER-3305,Pneumatic Damper 36 inch,2023-11-18,2023-12-08,2023-12-07,69,333.46,23008.74
PO-DEMO-055,StellarForge Industries,DAMPER-3305,Pneumatic Damper 36 inch,2023-10-21,2023-11-13,2023-11-16,117,307.64,35993.88
PO-DEMO-056,StellarForge Industries,DAMPER-3305,Pneumatic Damper 36 inch,2023-07-24,2023-09-19,2023-10-04,268,273.28,73239.04
PO-DEMO-057,Apex Manufacturing - QuickFab Division,PANEL-8820,Stainless Control Panel,2024-07-29,2024-08-17,2024-09-01,151,224.41,33885.91
PO-DEMO-058,Apex Manufacturing - QuickFab Division,DAMPER-3305,Pneumatic Damper 36 inch,2024-10-09,2024-10-31,2024-11-15,92,311.18,28628.56
PO-DEMO-059,Apex Manufacturing - QuickFab Division,HX-5520,Aluminum Heat Exchanger,2024-12-04,2025-02-01,2025-02-09,67,830.1,55616.7
PO-DEMO-060,Apex Manufacturing - QuickFab Division,HX-5520,Aluminum Heat Exchanger,2025-01-08,2025-01-31,2025-02-12,199,1033.0,205567.0
PO-DEMO-061,SF Industries,HX-5520,Aluminum Heat Exchanger,2023-07-09,2023-08-19,2023-08-18,167,945.86,157958.62
PO-DEMO-062,SF Industries,BRKT-1005,Heavy Duty Mount,2023-06-12,2023-07-18,2023-07-19,62,20.31,1259.22
PO-DEMO-063,SF Industries,FAN-2436,36 inch Axial Fan,2023-10-23,2023-12-02,2023-12-16,131,266.46,34906.26
PO-DEMO-064,SF Industries,FAN-2436,36 inch Axial Fan,2023-07-17,2023-08-26,2023-08-21,180,258.24,46483.2
PO-DEMO-065,Zenith Thermal Solutions,DAMPER-3305,Pneumatic Damper 36 inch,2025-04-17,2025-06-12,2025-06-14,91,318.11,28948.01
PO-DEMO-066,Zenith Thermal Solutions,SENSOR-4401,Temperature Sensor Probe,2025-01-29,2025-03-08,2025-03-04,123,47.98,5901.54
PO-DEMO-067,Zenith Thermal Solutions,BRKT-1005,Heavy Duty Mount,2025-04-29,2025-06-04,2025-06-08,124,15.35,1903.4
PO-DEMO-068,Zenith Thermal Solutions,DAMPER-3305,Pneumatic Damper 36 inch,2025-02-20,2025-03-31,2025-04-05,45,345.03,15526.35
PO-DEMO-069,AQF Holdings,PANEL-8820,Stainless Control Panel,2024-09-25,2024-10-31,2024-11-15,284,253.11,71883.24
PO-DEMO-070,AQF Holdings,FAN-2436,36 inch Axial Fan,2024-07-23,2024-08-13,2024-08-16,145,183.83,26655.35
PO-DEMO-071,AQF Holdings,BEARING-9905,Heavy Duty Bearing Set,2024-12-15,2025-01-25,2025-01-31,233,84.25,19630.25
PO-DEMO-072,AQF Holdings,BRKT-1005,Heavy Duty Mount,2024-11-23,2024-12-14,2024-12-21,140,15.67,2193.8
PO-DEMO-073,Zenith Thermal,BRKT-1005,Heavy Duty Mount,2025-04-23,2025-05-07,2025-05-18,196,21.47,4208.12
PO-DEMO-074,Zenith Thermal,BEARING-9905,Heavy Duty Bearing Set,2025-06-21,2025-07-26,2025-08-09,73,88.79,6481.67
PO-DEMO-075,Zenith Thermal,PANEL-8820,Stainless Control Panel,2025-03-19,2025-05-04,2025-05-08,177,260.24,46062.48
PO-DEMO-076,Zenith Thermal,BRKT-1005,Heavy Duty Mount,2025-03-18,2025-05-06,2025-05-05,225,24.97,5618.25
PO-DEMO-077,Apex Mfg Inc,DAMPER-3305,Pneumatic Damper 36 inch,2022-01-07,2022-03-05,2022-03-05,217,282.19,61235.23
PO-DEMO-078,Apex Mfg Inc,BRKT-1005,Heavy Duty Mount,2021-10-02,2021-11-04,2021-11-08,230,26.79,6161.7
PO-DEMO-079,Apex Mfg Inc,SENSOR-4401,Temperature Sensor Probe,2022-03-06,2022-04-30,2022-05-05,236,57.69,13614.84
PO-DEMO-080,Apex Mfg Inc,FAN-2436,36 inch Axial Fan,2021-11-25,2022-01-10,2022-01-20,53,208.38,11044.14
PO-DEMO-081,PRECISION THERMAL,BEARING-9905,Heavy Duty Bearing Set,2022-03-20,2022-05-13,2022-05-27,57,92.74,5286.18
PO-DEMO-082,PRECISION THERMAL,BRKT-1005,Heavy Duty Mount,2021-12-01,2022-01-27,2022-01-31,111,17.21,1910.31
PO-DEMO-083,PRECISION THERMAL,CTRL-9985,PLC Control Module,2021-10-13,2021-11-11,2021-11-21,243,412.17,100157.31
PO-DEMO-084,PRECISION THERMAL,PANEL-8820,Stainless Control Panel,2022-03-12,2022-05-01,2022-05-02,263,259.97,68372.11
PO-DEMO-085,TITANFORGE L.L.C.,CTRL-9985,PLC Control Module,2021-11-08,2022-01-02,2021-12-28,227,382.83,86902.41
PO-DEMO-086,TITANFORGE L.L.C.,HX-5520,Aluminum Heat Exchanger,2022-03-29,2022-05-15,2022-05-24,295,899.68,265405.6
PO-DEMO-087,TITANFORGE L.L.C.,SENSOR-4401,Temperature Sensor Probe,2021-11-02,2021-12-15,2021-12-14,281,79.52,22345.12
PO-DEMO-088,TITANFORGE L.L.C.,PANEL-8820,Stainless Control Panel,2022-03-03,2022-04-06,2022-04-15,290,264.59,76731.1
PO-DEMO-089,Stellar Metal Works,DAMPER-3305,Pneumatic Damper 36 inch,2021-11-11,2021-12-25,2022-01-03,136,325.98,44333.28
PO-DEMO-090,Stellar Metal Works,BRKT-1005,Heavy Duty Mount,2021-12-11,2022-01-27,2022-02-06,150,21.6,3240.0
PO-DEMO-091,Stellar Metal Works,BEARING-9905,Heavy Duty Bearing Set,2021-12-14,2022-01-12,2022-01-15,173,95.72,16559.56
PO-DEMO-092,Stellar Metal Works,BRKT-1005,Heavy Duty Mount,2021-10-22,2021-11-13,2021-11-12,206,25.41,5234.46
PO-DEMO-093,AEROFLOW SYSTEMS,PANEL-8820,Stainless Control Panel,2021-11-25,2021-12-13,2021-12-21,179,274.26,49092.54
PO-DEMO-094,AEROFLOW SYSTEMS,PANEL-8820,Stainless Control Panel,2022-01-16,2022-02-02,2022-02-03,209,310.48,64890.32
PO-DEMO-095,AEROFLOW SYSTEMS,PANEL-8820,Stainless Control Panel,2022-02-28,2022-04-27,2022-04-22,254,220.59,56029.86
PO-DEMO-096,AEROFLOW SYSTEMS,PANEL-8820,Stainless Control Panel,2021-12-31,2022-02-02,2022-02-09,285,294.75,84003.75
PO-DEMO-097,quickfab industries,SENSOR-4401,Temperature Sensor Probe,2022-02-18,2022-04-11,2022-04-13,122,50.92,6212.24
PO-DEMO-098,quickfab industries,BEARING-9905,Heavy Duty Bearing Set,2022-02-03,2022-02-18,2022-02-25,217,88.97,19306.49
PO-DEMO-099,quickfab industries,HX-5520,Aluminum Heat Exchanger,2022-01-29,2022-02-20,2022-03-06,211,1036.76,218756.36
PO-DEMO-100,quickfab industries,PANEL-8820,Stainless Control Panel,2022-03-20,2022-04-04,2022-04-01,79,306.69,24228.51
PO-DEMO-101,APEX MANUFACTURING INC.,PANEL-8820,Stainless Control Panel,2021-11-17,2021-12-04,2021-12-07,177,241.17,42687.09
PO-DEMO-102,APEX MANUFACTURING INC.,DAMPER-3305,Pneumatic Damper 36 inch,2021-12-24,2022-01-28,2022-02-04,225,237.84,53514.0
PO-DEMO-103,APEX MANUFACTURING INC.,HX-5520,Aluminum Heat Exchanger,2021-10-22,2021-12-05,2021-11-30,189,889.69,168151.41
PO-DEMO-104,APEX MANUFACTURING INC.,HX-5520,Aluminum Heat Exchanger,2021-10-19,2021-12-13,2021-12-09,136,879.74,119644.64
PO-DEMO-105,Apex  Manufacturing,BRKT-1005,Heavy Duty Mount,2021-10-07,2021-11-29,2021-11-28,74,22.1,1635.4
PO-DEMO-106,Apex  Manufacturing,SENSOR-4401,Temperature Sensor Probe,2021-10-31,2021-12-20,2021-12-21,141,70.68,9965.88
PO-DEMO-107,Apex  Manufacturing,CTRL-9985,PLC Control Module,2021-11-13,2022-01-04,2022-01-18,93,494.71,46008.03
PO-DEMO-108,Apex  Manufacturing,DAMPER-3305,Pneumatic Damper 36 inch,2021-10-29,2021-12-19,2021-12-14,202,259.5,52419.0
PO-DEMO-109, QuickFab Industries ,BRKT-1005,Heavy Duty Mount,2021-11-21,2021-12-09,2021-12-22,62,25.46,1578.52
PO-DEMO-110, QuickFab Industries ,CTRL-9985,PLC Control Module,2021-12-18,2022-02-13,2022-02-27,299,467.4,139752.6
PO-DEMO-111, QuickFab Industries ,BEARING-9905,Heavy Duty Bearing Set,2021-12-29,2022-02-15,2022-02-23,45,80.24,3610.8
PO-DEMO-112, QuickFab Industries ,SENSOR-4401,Temperature Sensor Probe,2021-12-28,2022-01-11,2022-01-19,64,57.34,3669.76
PO-DEMO-113,"Stellar Metalworks,",FAN-2436,36 inch Axial Fan,2022-01-02,2022-02-25,2022-03-06,232,197.61,45845.52
PO-DEMO-114,"Stellar Metalworks,",SENSOR-4401,Temperature Sensor Probe,2022-02-12,2022-04-08,2022-04-11,248,57.42,14240.16
PO-DEMO-115,"Stellar Metalworks,",BRKT-1005,Heavy Duty Mount,2022-03-02,2022-04-02,2022-04-07,54,19.18,1035.72
PO-DEMO-116,"Stellar Metalworks,",PANEL-8820,Stainless Control Panel,2022-01-25,2022-02-23,2022-03-04,182,222.87,40562.34
PO-DEMO-117,"TitanForge, LLC",BRKT-1005,Heavy Duty Mount,2021-12-24,2022-01-18,2022-01-28,191,26.97,5151.27
PO-DEMO-118,"TitanForge, LLC",DAMPER-3305,Pneumatic Damper 36 inch,2021-12-28,2022-01-28,2022-02-11,294,201.52,59246.88
PO-DEMO-119,"TitanForge, LLC",PANEL-8820,Stainless Control Panel,2021-11-19,2021-12-08,2021-12-10,260,275.52,71635.2
PO-DEMO-120,"TitanForge, LLC",SENSOR-4401,Temperature Sensor Probe,2021-12-02,2022-01-29,2022-02-08,239,71.72,17141.08
PO-DEMO-121,Apex Manufactur1ng,PANEL-8820,Stainless Control Panel,2021-10-25,2021-11-26,2021-11-28,134,250.62,33583.08
PO-DEMO-122,Apex Manufactur1ng,BEARING-9905,Heavy Duty Bearing Set,2022-02-27,2022-04-05,2022-04-15,227,99.87,22670.49
PO-DEMO-123,Apex Manufactur1ng,SENSOR-4401,Temperature Sensor Probe,2022-02-19,2022-03-26,2022-04-01,148,52.26,7734.48
PO-DEMO-124,Apex Manufactur1ng,BEARING-9905,Heavy Duty Bearing Set,2021-11-30,2021-12-21,2021-12-22,71,89.72,6370.12
PO-DEMO-125,Ste11ar Metalworks,BRKT-1005,Heavy Duty Mount,2022-03-27,2022-04-21,2022-04-22,257,19.15,4921.55
PO-DEMO-126,Ste11ar Metalworks,DAMPER-3305,Pneumatic Damper 36 inch,2022-03-01,2022-04-17,2022-05-01,61,324.89,19818.29
PO-DEMO-127,Ste11ar Metalworks,FAN-2436,36 inch Axial Fan,2021-12-16,2022-01-13,2022-01-19,164,181.41,29751.24
PO-DEMO-128,Ste11ar Metalworks,HX-5520,Aluminum Heat Exchanger,2022-02-15,2022-03-09,2022-03-12,37,1021.34,37789.58
PO-DEMO-129,Precisi0n Thermal Co,SENSOR-4401,Temperature Sensor Probe,2022-03-29,2022-04-20,2022-05-05,62,74.91,4644.42
PO-DEMO-130,Precisi0n Thermal Co,SENSOR-4401,Temperature Sensor Probe,2022-02-25,2022-03-29,2022-04-08,235,53.63,12603.05
PO-DEMO-131,Precisi0n Thermal Co,CTRL-9985,PLC Control Module,2021-10-15,2021-11-14,2021-11-24,43,410.11,17634.73
PO-DEMO-132,Precisi0n Thermal Co,HX-5520,Aluminum Heat Exchanger,2021-10-20,2021-12-09,2021-12-24,87,859.68,74792.16
PO-DEMO-133,Apexx Manufacturing,BRKT-1005,Heavy Duty Mount,2022-02-23,2022-03-28,2022-03-25,70,23.37,1635.9
PO-DEMO-134,Apexx Manufacturing,BRKT-1005,Heavy Duty Mount,2022-01-16,2022-03-09,2022-03-23,277,20.71,5736.67
PO-DEMO-135,Apexx Manufacturing,PANEL-8820,Stainless Control Panel,2022-01-23,2022-02-25,2022-03-10,166,276.86,45958.76
PO-DEMO-136,Apexx Manufacturing,BRKT-1005,Heavy Duty Mount,2021-10-17,2021-12-09,2021-12-07,118,18.97,2238.46
PO-DEMO-137,AeroFow Systems,FAN-2436,36 inch Axial Fan,2021-10-22,2021-11-15,2021-11-17,292,187.51,54752.92
PO-DEMO-138,AeroFow Systems,SENSOR-4401,Temperature Sensor Probe,2021-10-02,2021-11-11,2021-11-20,159,41.31,6568.29
PO-DEMO-139,AeroFow Systems,SENSOR-4401,Temperature Sensor Probe,2021-12-14,2022-02-11,2022-02-15,46,67.5,3105.0
PO-DEMO-140,AeroFow Systems,BRKT-1005,Heavy Duty Mount,2021-12-08,2022-01-31,2022-02-13,227,16.72,3795.44
PO-DEMO-141,QuickFab Industires,DAMPER-3305,Pneumatic Damper 36 inch,2021-11-28,2022-01-22,2022-01-21,82,210.71,17278.22
PO-DEMO-142,QuickFab Industires,DAMPER-3305,Pneumatic Damper 36 inch,2021-11-13,2021-12-16,2021-12-30,234,218.65,51164.1
PO-DEMO-143,QuickFab Industires,DAMPER-3305,Pneumatic Damper 36 inch,2022-03-27,2022-04-29,2022-05-06,266,281.0,74746.0
PO-DEMO-144,QuickFab Industires,HX-5520,Aluminum Heat Exchanger,2022-01-22,2022-02-10,2022-02-24,231,1093.81,252670.11
PO-DEMO-145,Ttianforge LLC,CTRL-9985,PLC Control Module,2022-03-05,2022-04-04,2022-03-30,127,494.29,62774.83
PO-DEMO-146,Ttianforge LLC,DAMPER-3305,Pneumatic Damper 36 inch,2022-02-26,2022-04-18,2022-04-13,30,314.47,9434.1
PO-DEMO-147,Ttianforge LLC,SENSOR-4401,Temperature Sensor Probe,2021-11-15,2021-12-29,2022-01-09,152,47.26,7183.52
PO-DEMO-148,Ttianforge LLC,SENSOR-4401,Temperature Sensor Probe,2022-02-28,2022-04-10,2022-04-25,56,58.8,3292.8
PO-DEMO-149,APXE MFG,CTRL-9985,PLC Control Module,2022-01-14,2022-02-18,2022-02-23,92,399.47,36751.24
PO-DEMO-150,APXE MFG,PANEL-8820,Stainless Control Panel,2022-03-28,2022-05-12,2022-05-16,291,223.67,65087.97
PO-DEMO-151,APXE MFG,BEARING-9905,Heavy Duty Bearing Set,2021-10-24,2021-11-27,2021-11-30,69,98.81,6817.89
PO-DEMO-152,APXE MFG,SENSOR-4401,Temperature Sensor Probe,2022-01-13,2022-02-28,2022-02-23,221,42.17,9319.57
PO-DEMO-153,Quckfab Ind.,SENSOR-4401,Temperature Sensor Probe,2022-02-11,2022-03-20,2022-04-03,236,70.4,16614.4
PO-DEMO-154,Quckfab Ind.,FAN-2436,36 inch Axial Fan,2021-11-23,2021-12-24,2022-01-05,157,223.81,35138.17
PO-DEMO-155,Quckfab Ind.,HX-5520,Aluminum Heat Exchanger,2022-03-29,2022-05-13,2022-05-11,132,1083.91,143076.12
PO-DEMO-156,Quckfab Ind.,PANEL-8820,Stainless Control Panel,2021-12-20,2022-02-07,2022-02-02,57,242.47,13820.79
PO-DEMO-157,Manufacturing Apex Inc,FAN-2436,36 inch Axial Fan,2021-10-31,2021-12-13,2021-12-11,265,273.27,72416.55
PO-DEMO-158,Manufacturing Apex Inc,PANEL-8820,Stainless Control Panel,2021-12-15,2022-01-30,2022-02-02,257,318.02,81731.14
PO-DEMO-159,Manufacturing Apex Inc,FAN-2436,36 inch Axial Fan,2021-12-03,2022-01-15,2022-01-27,206,199.06,41006.36
PO-DEMO-160,Manufacturing Apex Inc,CTRL-9985,PLC Control Module,2022-03-04,2022-04-19,2022-04-18,151,465.9,70350.9
PO-DEMO-161,Metalworks Stellar,DAMPER-3305,Pneumatic Damper 36 inch,2022-01-16,2022-02-20,2022-03-03,11,242.43,2666.73
PO-DEMO-162,Metalworks Stellar,SENSOR-4401,Temperature Sensor Probe,2021-12-17,2022-02-06,2022-02-19,86,57.86,4975.96
PO-DEMO-163,Metalworks Stellar,PANEL-8820,Stainless Control Panel,2022-02-02,2022-03-10,2022-03-15,243,313.29,76129.47
PO-DEMO-164,Metalworks Stellar,PANEL-8820,Stainless Control Panel,2021-11-19,2022-01-16,2022-01-18,129,305.6,39422.4
PO-DEMO-165,Apex Manufacturing Group International,SENSOR-4401,Temperature Sensor Probe,2022-01-15,2022-01-31,2022-02-05,205,55.44,11365.2
PO-DEMO-166,Apex Manufacturing Group International,SENSOR-4401,Temperature Sensor Probe,2022-03-20,2022-05-14,2022-05-13,28,45.05,1261.4
PO-DEMO-167,Apex Manufacturing Group International,SENSOR-4401,Temperature Sensor Probe,2022-03-02,2022-04-06,2022-04-04,61,61.04,3723.44
PO-DEMO-168,Apex Manufacturing Group International,PANEL-8820,Stainless Control Panel,2022-01-26,2022-02-09,2022-02-08,89,227.48,20245.72
PO-DEMO-169,The QuickFab Industries Company,PANEL-8820,Stainless Control Panel,2021-12-08,2022-01-12,2022-01-26,51,305.18,15564.18
PO-DEMO-170,The QuickFab Industries Company,BEARING-9905,Heavy Duty Bearing Set,2022-03-23,2022-05-10,2022-05-17,259,94.9,24579.1
PO-DEMO-171,The QuickFab Industries Company,BRKT-1005,Heavy Duty Mount,2021-10-11,2021-12-03,2021-11-30,157,29.96,4703.72
PO-DEMO-172,The QuickFab Industries Company,CTRL-9985,PLC Control Module,2021-10-25,2021-12-05,2021-12-03,237,374.95,88863.15
PO-DEMO-173,Ａｅｒｏflow Systems,BEARING-9905,Heavy Duty Bearing Set,2021-12-17,2022-01-01,2021-12-28,38,71.73,2725.74
PO-DEMO-174,Ａｅｒｏflow Systems,BRKT-1005,Heavy Duty Mount,2022-01-05,2022-02-15,2022-02-14,281,21.18,5951.58
PO-DEMO-175,Ａｅｒｏflow Systems,FAN-2436,36 inch Axial Fan,2022-03-25,2022-04-19,2022-04-19,50,240.95,12047.5
PO-DEMO-176,Ａｅｒｏflow Systems,SENSOR-4401,Temperature Sensor Probe,2022-01-07,2022-03-01,2022-03-03,83,49.29,4091.07
PO-DEMO-177,Précision Thermal Co,DAMPER-3305,Pneumatic Damper 36 inch,2022-03-14,2022-04-13,2022-04-22,14,334.84,4687.76
PO-DEMO-178,Précision Thermal Co,FAN-2436,36 inch Axial Fan,2022-01-29,2022-03-02,2022-03-14,47,224.17,10535.99
PO-DEMO-179,Précision Thermal Co,PANEL-8820,Stainless Control Panel,2021-12-29,2022-02-18,2022-02-22,138,265.68,36663.84
PO-DEMO-180,Précision Thermal Co,SENSOR-4401,Temperature Sensor Probe,2021-12-18,2022-01-13,2022-01-20,64,49.49,3167.36
PO-DEMO-181,Bright Star Foundry,DAMPER-3305,Pneumatic Damper 36 inch,2022-02-25,2022-04-02,2022-04-15,161,203.29,32729.69
PO-DEMO-182,Bright Star Foundry,HX-5520,Aluminum Heat Exchanger,2022-03-19,2022-04-27,2022-04-30,299,1146.03,342662.97
PO-DEMO-183,Bright Star Foundry,DAMPER-3305,Pneumatic Damper 36 inch,2021-10-14,2021-12-05,2021-12-15,127,291.06,36964.62
PO-DEMO-184,Bright Star Foundry,BRKT-1005,Heavy Duty Mount,2021-12-31,2022-01-28,2022-02-12,138,25.17,3473.46
PO-DEMO-185,BSF,CTRL-9985,PLC Control Module,2022-03-19,2022-05-15,2022-05-14,30,396.34,11890.2
PO-DEMO-186,BSF,BEARING-9905,Heavy Duty Bearing Set,2022-01-22,2022-02-07,2022-02-20,77,63.61,4897.97
PO-DEMO-187,BSF,FAN-2436,36 inch Axial Fan,2021-12-16,2022-01-19,2022-01-27,112,193.22,21640.64
PO-DEMO-188,BSF,DAMPER-3305,Pneumatic Damper 36 inch,2022-02-17,2022-03-26,2022-04-06,94,238.55,22423.7
PO-DEMO-189,Juniper Racing,CTRL-9985,PLC Control Module,2022-02-02,2022-03-06,2022-03-11,249,494.43,123113.07
PO-DEMO-190,Juniper Racing,BEARING-9905,Heavy Duty Bearing Set,2021-11-07,2021-12-05,2021-12-12,56,91.63,5131.28
PO-DEMO-191,Juniper Racing,CTRL-9985,PLC Control Module,2021-10-05,2021-11-04,2021-11-16,242,405.29,98080.18
